HIERARCHY_ID,HIERARCHY_NAME,PARENT_HIERARCHY,SOURCE_COLUMN,CONDITION_TYPE,CONDITION_VALUE,MAPPED_VALUE
GL_OIL_CONSERVATION_TAXES,Oil Conservation Taxes,gl,account_code,IN,601-111,Oil Conservation Taxes
GL_OIL_CONSERVATION_TAXES,Oil Conservation Taxes,gl,account_code,IN,601-121,Oil Conservation Taxes
GL_GAS_CONSERVATION_TAXES,Gas Conservation Taxes,gl,account_code,IN,602-111,Gas Conservation Taxes
GL_GAS_CONSERVATION_TAXES,Gas Conservation Taxes,gl,account_code,IN,602-121,Gas Conservation Taxes
GL_NGL_CONSERVATION_TAXES,NGL Conservation Taxes,gl,account_code,IN,603-111,NGL Conservation Taxes
GL_NGL_CONSERVATION_TAXES,NGL Conservation Taxes,gl,account_code,IN,603-121,NGL Conservation Taxes
GL_COMMODITY_FEES,Commodity Fees,gl,account_code,=,611-110,Commodity Fees
GL_NON-OP_FEES,Non-Op Fees,gl,account_code,ILIKE,611-120,Non-Op Fees
GL_NON-OP_FEES,Non-Op Fees,gl,account_code,ILIKE,62%,Non-Op Fees
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,630-1%,Consulting Expenses
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,710-170,Consulting Expenses
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,710-996,Consulting Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-110,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-100,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-275,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-300,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-990,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,641-110,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,641-100,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,641-990,Lease Operating Expenses
GL_LEASEHOLD_EXPENSES,Leasehold Expenses,gl,account_code,ILIKE,642%,Leasehold Expenses
GL_EXPLORATION_EXPENSES,Exploration Expenses,gl,account_code,ILIKE,645%,Exploration Expenses
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,gl,account_code,ILIKE,650%,Third Party Fees Paid
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,gl,account_code,ILIKE,660%,Third Party Fees Paid
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,gl,account_code,ILIKE,667%,Third Party Fees Paid
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,gl,account_code,ILIKE,668%,Third Party Fees Paid
GL_MIDSTREAM_OPERATING_EXPEN,Midstream Operating Expenses,gl,account_code,ILIKE,665%,Midstream Operating Expenses
GL_MIDSTREAM_OPERATING_EXPEN,Midstream Operating Expenses,gl,account_code,ILIKE,666%,Midstream Operating Expenses
GL_MIDSTREAM_OPERATING_EXPEN,Midstream Operating Expenses,gl,account_code,ILIKE,669%,Midstream Operating Expenses
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,gl,account_code,ILIKE,670%,Cost of Purchased Gas
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,gl,account_code,ILIKE,680%,Cost of Purchased Gas
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,gl,account_code,ILIKE,690%,Cost of Purchased Gas
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,gl,account_code,ILIKE,691%,Cost of Purchased Gas
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,700-100,Sand Purchases
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,700-110,Sand Purchases
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,700-800,Sand Purchases
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,700-990,Sand Purchases
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,701-100,Sand Purchases
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,701-110,Sand Purchases
GL_WATER_PURCHASES,Water Purchases,gl,account_code,IN,700-150,Water Purchases
GL_WATER_PURCHASES,Water Purchases,gl,account_code,IN,700-994,Water Purchases
GL_FUEL_PURCHASES,Fuel Purchases,gl,account_code,IN,700-180,Fuel Purchases
GL_FUEL_PURCHASES,Fuel Purchases,gl,account_code,IN,700-997,Fuel Purchases
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-100,Rental Expenses
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-120,Rental Expenses
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-140,Rental Expenses
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-300,Rental Expenses
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-301,Rental Expenses
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-991,Rental Expenses
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-992,Rental Expenses
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-993,Rental Expenses
