XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_REF_SOURCE,FORMULA_REF_TABLE,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
46,22,Midstream Operating Statement,1,Midstream,10,Service Revenue,14,Service Revenue - Misc,,,0,,0,,0,,0,,0,,,515-210,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - MiscService Revenue - Misc,,,Total Service Revenue,true,,,,,,,false
47,24,Midstream Operating Statement,1,Midstream,10,Service Revenue,16,Service Revenue - TRN,,,0,,0,,0,,0,,0,,,517-120,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - TRNService Revenue - TRN,,,Total Service Revenue,true,,,,,,,false
48,24,Midstream Operating Statement,1,Midstream,10,Service Revenue,16,Service Revenue - TRN,,,0,,0,,0,,0,,0,,,TRN,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - TRNService Revenue - TRN,,,Total Service Revenue,true,,,,,,,false
49,24,Midstream Operating Statement,1,Midstream,10,Service Revenue,16,Service Revenue - TRN,,,0,,0,,0,,0,,0,,,517-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - TRNService Revenue - TRN,,,Total Service Revenue,true,,,,,,,false
50,24,Midstream Operating Statement,1,Midstream,10,Service Revenue,16,Service Revenue - TRN,,,0,,0,,0,,0,,0,,,517-110,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - TRNService Revenue - TRN,,,Total Service Revenue,true,,,,,,,false
51,30,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Chemicals,132,Recurring,10000,Variable,0,,0,,0,,0,,,MOE241,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringChemicalsVariable,,,Total Recurring,false,,,,,,,false
52,30,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Chemicals,132,Recurring,10000,Variable,0,,0,,0,,0,,,MOE265,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringChemicalsVariable,,,Total Recurring,false,,,,,,,false
53,30,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Chemicals,132,Recurring,10000,Variable,0,,0,,0,,0,,,MOE242,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringChemicalsVariable,,,Total Recurring,false,,,,,,,false
54,30,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Chemicals,132,Recurring,10000,Variable,0,,0,,0,,0,,,MOE243,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringChemicalsVariable,,,Total Recurring,false,,,,,,,false
55,30,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Chemicals,132,Recurring,10000,Variable,0,,0,,0,,0,,,MOE244,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringChemicalsVariable,,,Total Recurring,false,,,,,,,false
56,30,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Chemicals,132,Recurring,10000,Variable,0,,0,,0,,0,,,MOE245,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringChemicalsVariable,,,Total Recurring,false,,,,,,,false
57,30,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Chemicals,132,Recurring,10000,Variable,0,,0,,0,,0,,,MOE270,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringChemicalsVariable,,,Total Recurring,false,,,,,,,false
58,30,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Chemicals,132,Recurring,10000,Variable,0,,0,,0,,0,,,MOE275,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringChemicalsVariable,,,Total Recurring,false,,,,,,,false
59,31,Midstream Operating Statement,1,Midstream,50,Operating Expense,58,Compression,132,Recurring,20000,Fixed,0,,0,,0,,0,,,MOE555,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringCompressionFixed,,,Total Recurring,false,,,,,,,false
60,32,Midstream Operating Statement,1,Midstream,50,Operating Expense,59,Environmental,132,Recurring,20000,Fixed,0,,0,,0,,0,,,MOE340,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringEnvironmentalFixed,,,Total Recurring,false,,,,,,,false
61,32,Midstream Operating Statement,1,Midstream,50,Operating Expense,59,Environmental,132,Recurring,20000,Fixed,0,,0,,0,,0,,,PRE340,BILLING_CATEGORY_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Recurring,RecurringEnvironmentalFixed,,,Total Recurring,false,,,,,,,false
