XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
54,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,North Dakota Severance Taxes,NDSEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
55,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Nebraska Severance Tax,NESEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
56,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,New Mexico Severance Taxes,NMSEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
57,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Severance Tax - General,NOPSEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
58,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Ohio Severance Taxes,OHSEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
59,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Oklahoma Severance Taxes,OKSEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
60,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,SEVERANCE TAX,SEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
61,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,TX Sev Exemption .01 Rate,SEVTX01,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
62,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Texas Severance Tax,TXSEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
63,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Texas Severance Tax-Purchaser Pays,TXSEVPUR,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
