XREF_HIERARCHY_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
111,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,7,Tubing,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedCoil Tubing,,,Total Operating Expense,false,,,,,false
112,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,8,Communications,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedCommunications,,,Total Operating Expense,false,,,,,false
113,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,9,Labor,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedCompany Labor,,,Total Operating Expense,false,,,,,false
114,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,10,Completion/Workover Rigs,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedCompletion/Workover Rigs,,,Total Operating Expense,false,,,,,false
115,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,11,Compressors/Pumps,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedCompressors/Pumps,,,Total Operating Expense,false,,,,,false
116,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,12,Labor,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedContract Labor,,,Total Operating Expense,false,,,,,false
117,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,13,Disposal,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedDisposal-Fluids-SWD (OUT),,,Total Operating Expense,false,,,,,false
118,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,14,EIS Costs,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedEIS Costs,,,Total Operating Expense,false,,,,,false
119,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,15,Electrc Svcs/Dist Sys,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedElectrc Svcs/Dist Sys,,,Total Operating Expense,false,,,,,false
120,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,16,Equipment Expense,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedEquip Exp-Compressors/Pumps,,,Total Operating Expense,false,,,,,false
121,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,17,Field Office,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedField Office,,,Total Operating Expense,false,,,,,false
